oa=0,
ynbb=0,寅
y;bb=0,賏
bnbb=0,赟
bnbb=0,贇
vfbb=0,贞
vfbb=0,貞
vfbb=0,眞
o巼bb=0,巼
clbc=0,财
clbc=0,財
clbc=0,寀
oibc=0,賶
ifbc=0,贂
idbc=0,疮
idbc=0,瘡
idbc=0,窻
cibc=0,疵
cibc=0,皉
cvbc=0,皠
fubc=0,赙
fubc=0,賻
gsbc=0,共
grbc=0,冠
sjbc=0,鬖
sgbc=0,鬙
ufbc=0,瘆
ufbc=0,瘮
obbc=0,守
ovbc=0,贜
zgbc=0,赠
zgbc=0,贈
vabc=0,齇
vbbc=0,疛
zibc=0,赀
zibc=0,资
zibc=0,貲
zibc=0,資
zibc=0,髭
zsbc=0,疭
zsbc=0,瘲
olbd=0,皚
ojbd=0,痷
iibd=0,貾
dabd=0,瘩
dlbd=0,贷
dlbd=0,貸
djbd=0,瘅
djbd=0,癉
dabd=0,疸
bkbd=0,宲
dibd=0,弚
dmbd=0,癫
dmbd=0,癲
dmbd=0,癜
dcbd=0,瘹
d;bd=0,疔
d;bd=0,鼑
dbbd=0,痘
dobd=0,痥
ofbd=0,奀
ffbd=0,分
fgbd=0,寷
grbd=0,瘝
gvbd=0,竃
hjbd=0,寒
jmbd=0,兼
jmbd=0,賎
jnbd=0,賮
jtbd=0,疦
krbd=0,寬
labd=0,瘌
labd=0,鬎
mkbd=0,贸
mkbd=0,貿
jsbd=0,鼏
n;bd=0,宁
n;bd=0,寕
n;bd=0,寜
n;bd=0,寧
pmbd=0,貵
pubd=0,贌
qmbd=0,前
ukbd=0,勺
ovbd=0,実
ovbd=0,痑
tgbd=0,疼
tibd=0,鬀
dmbd=0,痶
tmbd=0,賟
xibd=0,卥
xxbd=0,冩
xxbd=0,寫
xxbd=0,禼
ypbd=0,匀
ovbd=0,賘
zebd=0,则
vibd=0,疷
vsbd=0,冢
vubd=0,瘃
dbbe=0,兜
dbbe=0,兠
orbe=0,髵
hebe=0,癋
jibe=0,皍
jmbe=0,寋
jxbe=0,疖
jxbe=0,兯
mkbe=0,皃
wjbe=0,宛
whbe=0,尣
ypbe=0,勻
obf=0,
bjbf=0,半
bhbf=0,幫
bkbf=0,寚
bmbf=0,贬
bmbf=0,疺
bmbf=0,窆
bmbf=0,貶
fjbf=0,贩
fjbf=0,販
fhbf=0,髣
fzbf=0,费
fzbf=0,疿
fzbf=0,費
fzbf=0,痱
fzbf=0,癈
fgbf=0,疯
fgbf=0,瘋
fubf=0,匐
fzbf=0,髴
fubf=0,癁
fubf=0,冨
fubf=0,富
gwbf=0,寡
gvbf=0,皈
pgbf=0,髼
pgbf=0,鬔
pibf=0,痞
pnbf=0,贫
pnbf=0,貧
pobf=0,皤
pubf=0,痡
pubf=0,匍
ufbf=0,審
ovbf=0,释
ykbf=0,窑
ykbf=0,窰
y;bf=0,罂
zjbf=0,賛
zebf=0,责
zebf=0,責
ojbg=0,鞌
bibg=0,弼
bnbg=0,髩
djbg=0,髧
gjbg=0,疳
ghbg=0,疘
ggbg=0,赓
ggbg=0,賡
gsbg=0,髸
gsbg=0,贡
gsbg=0,貢
gbbg=0,购
gbbg=0,購
gubg=0,痼
gwbg=0,卦
grbg=0,官
grbg=0,痯
gvbg=0,窐
gvbg=0,貴
gobg=0,瘑
hjbg=0,鼾
hjbg=0,罕
hkbg=0,皓
hkbg=0,皞
hkbg=0,皜
hkbg=0,皡
hkbg=0,皥
hfbg=0,痕
hdbg=0,皝
hvbg=0,瘣
jibg=0,旣
jibg=0,兾
jibg=0,冀
jmbg=0,弿
jcbg=0,窖
j;bg=0,痉
j;bg=0,痙
jpbg=0,寯
kebg=0,窠
kebg=0,客
ksbg=0,空
kvbg=0,窥
kvbg=0,窺
lubg=0,赂
lubg=0,賂
pibg=0,鼙
pobg=0,魄
qxbg=0,癿
qsbg=0,宆
qsbg=0,穹
qsbg=0,窮
qsbg=0,竆
rsbg=0,容
ovbg=0,實
wabg=0,窊
wabg=0,窪
wobg=0,窝
wobg=0,窩
xxbg=0,卨
xrbg=0,宣
ykbg=0,窯
yubg=0,寙
yubg=0,窳
zzbg=0,戝
bfbh=0,贲
bfbh=0,賁
ifbh=0,疢
glbh=0,赅
glbh=0,賅
glbh=0,賌
grbh=0,癏
hjbh=0,皔
hebh=0,皬
oebh=0,齃
hsbh=0,宏
hsbh=0,宖
hbbh=0,瘊
hubh=0,鬍
hrbh=0,寏
hrbh=0,寰
hrbh=0,鬟
hrbh=0,痪
hrbh=0,瘓
hdbh=0,癀
hvbh=0,痐
hvbh=0,寭
hobh=0,货
hobh=0,貨
hobh=0,癨
jxbh=0,痎
kybh=0,鬠
mnbh=0,痻
nkbh=0,孬
wjbh=0,贃
gvbh=0,癐
xubh=0,窢
xrbh=0,贙
yebh=0,皣
zlbh=0,灾
ilbi=0,瘥
ifbi=0,宸
igbi=0,宬
igbi=0,窚
isbi=0,痋
irbi=0,賗
ipbi=0,賰
crbi=0,窜
fubi=0,父
hrbi=0,宦
hdbi=0,宺
jrbi=0,蠲
jpbi=0,军
jpbi=0,軍
mibi=0,蜜
nkbi=0,匘
skbi=0,瘙
sebi=0,瘷
o釈bi=0,釈
upbi=0,鬊
wobi=0,卧
xqbi=0,齅
yibi=0,宧
vabi=0,齄
vhbi=0,账
vhbi=0,痮
vhbi=0,賬
kebi=0,窼
vfbi=0,赈
vfbi=0,賑
kubi=0,窋
olbj=0,皑
bobj=0,帛
iabj=0,察
igbj=0,竀
iibj=0,瘛
djbj=0,窞
fubj=0,釡
gvbj=0,宄
hebj=0,贺
hebj=0,賀
hbbj=0,齁
o癪bj=0,癪
jibj=0,瘠
jibj=0,痵
jibj=0,髻
jwbj=0,痂
jwbj=0,瘕
jmbj=0,贱
jmbj=0,賤
jcbj=0,皎
jcbj=0,賋
jcbj=0,皦
jcbj=0,皭
jxbj=0,癤
jxbj=0,疥
jnbj=0,赆
jnbj=0,寖
jnbj=0,贐
j;bj=0,宑
j;bj=0,穽
jsbj=0,宭
jsbj=0,窘
jqbj=0,究
jqbj=0,疚
jubj=0,痀
jtbj=0,瘚
krbj=0,宽
krbj=0,寛
lmbj=0,鬑
mibj=0,覔
mibj=0,幂
qmbj=0,鬝
qcbj=0,癄
qcbj=0,竅
qnbj=0,瘽
qqbj=0,鼽
qrbj=0,鬈
rsbj=0,冗
rsbj=0,宂
srbj=0,痠
tjbj=0,贪
tjbj=0,貪
wfbj=0,瘒
xmbj=0,癎
xpbj=0,賐
ykbj=0,窔
ykbj=0,鼼
ypbj=0,賱
zjbj=0,寁
vlbj=0,瘵
vibj=0,質
vrbj=0,赚
vrbj=0,賺
bkbk=0,宀
bibk=0,鄨
b;bk=0,并
ihbk=0,鬯
gubk=0,谷
grbk=0,窤
hlbk=0,害
hhbk=0,貥
kebk=0,疴
kubk=0,瘔
krbk=0,窾
pkbk=0,匏
pzbk=0,赔
pzbk=0,賠
tubk=0,冖
obbk=0,兽
xibk=0,兮
xubk=0,疞
y;bk=0,赢
y;bk=0,贏
vjbk=0,占
bxbl=0,瘪
bxbl=0,癟
ikbl=0,窲
isbl=0,宠
isbl=0,寵
ibbl=0,瘳
gsbl=0,宫
gsbl=0,宮
jubl=0,寠
jubl=0,窭
jubl=0,窶
llbl=0,赉
llbl=0,賚
llbl=0,癞
labl=0,癩
lkbl=0,痨
lkbl=0,癆
lkbl=0,老
lzbl=0,癗
libl=0,疬
libl=0,痢
libl=0,鬁
libl=0,皪
libl=0,癧
lcbl=0,疗
lcbl=0,寥
lcbl=0,寮
lcbl=0,窷
lcbl=0,療
lcbl=0,竂
lcbl=0,賿
lxbl=0,鬣
l;bl=0,皊
lqbl=0,瘤
lqbl=0,癅
lsbl=0,癃
lsbl=0,窿
lsbl=0,竉
lsbl=0,贚
lbbl=0,瘘
lbbl=0,瘻
lbbl=0,瘺
lrbl=0,癴
lrbl=0,癵
lobl=0,瘰
lobl=0,癳
mabl=0,痲
lnbl=0,痳
mhbl=0,痝
lnbl=0,冧
m;bl=0,冥
mobl=0,劰
qsbl=0,穷
rbbl=0,宍
xxbl=0,齂
ojbm=0,案
bzbm=0,盃
bnbm=0,賔
ifbm=0,賝
cvbm=0,竁
dbbm=0,窦
dbbm=0,竇
fgbm=0,赗
fgbm=0,賵
grbm=0,贯
grbm=0,貫
qmbm=0,骞
jmbm=0,騫
jcbm=0,窌
mabm=0,鬕
mjbm=0,鬘
mkbm=0,髳
o癦bm=0,癦
mzbm=0,痗
mibm=0,冞
mibm=0,冪
mobm=0,皌
mobm=0,寞
mobm=0,瘼
n;bm=0,寍
qibm=0,盀
ufbm=0,罙
ufbm=0,穼
ovbm=0,宩
uubm=0,赎
uubm=0,贖
ssbm=0,梥
ssbm=0,宋
wfbm=0,瘟
ykbm=0,窅
lebm=0,楽
lebm=0,樂
zkbm=0,竈
vlbm=0,寨
vpbm=0,宒
vobm=0,桌
ojbn=0,安
dcbn=0,窎
dcbn=0,窵
jubn=0,鵙
kbbn=0,宼
kbbn=0,窛
lkbn=0,牢
lkbn=0,窂
nlbn=0,疓
nhbn=0,鬞
nhbn=0,齉
nibn=0,痆
n;bn=0,鬡
nsbn=0,癑
nsbn=0,齈
nyebn=0,瘧
tjbn=0,瘫
tjbn=0,癱
xmbn=0,鶱
yjbn=0,宴
yjbn=0,贗
yibn=0,寱
y;bn=0,婴
y;bn=0,鸎
vubn=0,貯
ivbo=0,鬌
kfbo=0,肎
qibo=0,鬐
vibo=0,旨
bgbp=0,痭
bibp=0,貱
bcbp=0,瘭
dibp=0,弟
d;bp=0,定
kbbp=0,冦
kbbp=0,寇
pgbp=0,鬅
pibp=0,髬
pibp=0,疲
pnbp=0,颦
pnbp=0,顰
wubp=0,勿
yibp=0,疑
vfbp=0,疹
q;bq=0,
q;bq=0,
gebq=0,疙
jibq=0,寄
jibq=0,癠
jwbq=0,宊
jmbq=0,鬋
jqbq=0,鬏
jubq=0,疽
jubq=0,冣
kubq=0,窟
qmbq=0,皘
qcbq=0,窍
qxbq=0,窃
qnbq=0,寴
qnbq=0,寑
q;bq=0,寈
qqbq=0,赇
qqbq=0,賕
qubq=0,髷
qubq=0,癯
qrbq=0,痊
sbbq=0,瘶
tubq=0,突
yabq=0,窫
yibq=0,冝
yibq=0,宜
zkbq=0,皂
vlbq=0,宅
iibq=0,瘈
lnbr=0,赁
lnbr=0,賃
mjbr=0,鬗
n;br=0,寗
qtbr=0,瘸
rjbr=0,髯
zzbr=0,贼
zzbr=0,賊
bkbs=0,包
bibs=0,毙
gsbs=0,公
ljbs=0,兰
mlbs=0,買
mlbs=0,賣
p;bs=0,艵
qxbs=0,竊
obbs=0,痩
obbs=0,瘦
ssbs=0,鬆
yrbs=0,贠
yrbs=0,貟
vibs=0,痔
bibt=0,坒
djbt=0,贉
grbt=0,关
slbt=0,塞
ovbt=0,实
tmbt=0,畠
tcbt=0,窱
tsbt=0,痌
tubt=0,痜
x;bt=0,皨
yibt=0,贻
yibt=0,貽
yibt=0,瘗
yibt=0,瘞
yrbt=0,冤
yrbt=0,寃
vpbt=0,窀
olbu=0,癌
bibu=0,毕
ifbu=0,瘎
crbu=0,竄
cvbu=0,疩
dhbu=0,宕
debu=0,的
gkbu=0,皋
gkbu=0,皐
jibu=0,疾
jibu=0,寂
jwbu=0,家
kjbu=0,冚
kobu=0,髺
lcbu=0,尦
lxbu=0,鬛
lubu=0,卢
mgbu=0,冡
mibu=0,宻
mibu=0,密
qibu=0,疧
qmbu=0,搴
qrbu=0,泉
uabu=0,痧
ujbu=0,疝
uhbu=0,贘
otbu=0,赊
otbu=0,賒
ufbu=0,审
ugbu=0,貹
ovbu=0,寔
ovbu=0,贳
ovbu=0,貰
iibu=0,匙
uubu=0,癙
sobu=0,髿
dibu=0,髰
xtbu=0,疶
yibu=0,疫
yibu=0,贀
zkbu=0,皁
vibu=0,质
vibu=0,貭
vobu=0,卓
vobu=0,窡
zsbu=0,宗
iibv=0,痴
iibv=0,痓
iibv=0,痸
ibbv=0,皗
djbv=0,癚
ifbv=0,瘨
dubv=0,赌
dubv=0,賭
dvbv=0,痽
glbv=0,匃
hebv=0,寉
hebv=0,隺
ujbv=0,痁
ujbv=0,赡
ujbv=0,贍
ovbv=0,師
ovbv=0,室
tmbv=0,窴
tcbv=0,髫
tcbv=0,宨
tcbv=0,窕
txbv=0,贴
txbv=0,貼
tubv=0,瘏
wlbv=0,歪
xmbv=0,贒
yjbv=0,贋
ysbv=0,癕
ysbv=0,癰
ovbv=0,赃
ovbv=0,賍
vabv=0,痄
vlbv=0,窄
vhbv=0,瘴
vhbv=0,瘬
vfbv=0,寊
vfbv=0,鬒
vgbv=0,鬇
vgbv=0,癥
vgbv=0,症
vibv=0,疻
vibv=0,贽
vibv=0,窒
vibv=0,痣
tmbv=0,寘
vibv=0,贄
vsbv=0,瘇
vbbv=0,赒
vbbv=0,賙
vubv=0,宔
vubv=0,疰
vobv=0,窧
blbw=0,败
blbw=0,贁
oebw=0,皒
fubw=0,赋
fubw=0,賦
hdbw=0,皇
libw=0,疠
libw=0,癘
mzbw=0,寐
pabw=0,琶
wjbw=0,皖
wjbw=0,贎
wzbw=0,寪
wzbw=0,癓
wzbw=0,痿
wubw=0,痦
wubw=0,寤
wubw=0,窹
hvbw=0,鼿
hvbw=0,齀
xwbw=0,夓
y;bw=0,甖
ovbw=0,贓
zsbw=0,鬉
idbx=0,窓
idbx=0,窗
cubx=0,瘄
dvbx=0,兌
dvbx=0,兑
oebx=0,歺
jwbx=0,贾
kabx=0,卡
kdbx=0,贶
kdbx=0,貺
qmbx=0,鬜
n;bx=0,鬤
ukbx=0,髾
ovbx=0,釋
xibx=0,穸
xibx=0,皙
xibx=0,瘜
xibx=0,窸
xwbx=0,疜
xmbx=0,痫
xmbx=0,癇
xmbx=0,宪
xmbx=0,憲
xcbx=0,宯
xcbx=0,宵
xcbx=0,痚
xcbx=0,痟
xcbx=0,窙
xsbx=0,匈
xqbx=0,髹
xubx=0,鬚
xubx=0,賉
xrbx=0,痃
xrbx=0,癣
xrbx=0,癬
yibx=0,瘱
ynbx=0,癮
zlbx=0,宰
zjbx=0,赞
zjbx=0,贊
zsbx=0,总
olby=0,賹
bkby=0,宝
bgby=0,甭
bcby=0,嫑
b;by=0,疒
iiby=0,癡
irby=0,穿
ciby=0,赐
ciby=0,賜
diby=0,髢
dvby=0,兊
orby=0,贰
orby=0,貮
orby=0,貳
faby=0,髪
huby=0,寣
hvby=0,贿
hvby=0,賄
jmby=0,謇
kpby=0,髨
n;by=0,甯
nsby=0,农
poby=0,攴
qmby=0,褰
qnby=0,寝
qnby=0,寢
q;by=0,顷
q;by=0,頃
qqby=0,酋
otby=0,賖
sbby=0,叜
tjby=0,痰
djby=0,赕
djby=0,賧
teby=0,貣
diby=0,鬄
tsby=0,痛
waby=0,穵
wjby=0,完
wjby=0,貦
wuby=0,窏
xiby=0,習
xmby=0,贤
xmby=0,賢
xcby=0,皢
xxby=0,写
ynby=0,窨
yaby=0,疨
yaby=0,痖
yaby=0,瘂
yjby=0,赝
yhby=0,疡
yhby=0,瘍
yhby=0,痒
yhby=0,癢
ykby=0,宎
ykby=0,窈
ykby=0,穾
yiby=0,痍
yiby=0,寲
yiby=0,貤
yiby=0,肄
yiby=0,痬
yiby=0,癔
ynby=0,瘖
ynby=0,瘾
ynby=0,癊
y;by=0,譻
y;by=0,瘿
y;by=0,癭
ysby=0,痈
ybby=0,疣
ybby=0,宥
wzby=0,痏
ybby=0,釉
yuby=0,瘀
yuby=0,窬
yuby=0,宇
yuby=0,穻
yuby=0,瘐
yuby=0,寓
yuby=0,瘉
yuby=0,癒
wjby=0,惌
vbby=0,宙
ziby=0,兹
csbz=0,賩
csbz=0,賨
cubz=0,瘯
cvbz=0,瘁
cobz=0,痤
jmbz=0,蹇
mnbz=0,賯
subz=0,窣
svbz=0,賥
zlbz=0,賳
zebz=0,皟
vabz=0,宱
vwbz=0,髽
zibz=0,字
zsbz=0,鬃
ckc=0,曹
ipc=0,萅
muc=0,暮
qic=0,弃
ovc=0,旹
xic=0,昔
yjc=0,燕
yic=0,弈
vgc=0,蒸
olca=0,薆
ojca=0,蓭
ojca=0,荌
okca=0,蔜
hwca=0,蕐
hwca=0,華
jnca=0,堇
jnca=0,菫
jqca=0,韮
uuca=0,尌
xmca=0,莶
xxca=0,薤
yuca=0,薁
n;ca=0,苎
bacb=0,芭
bacb=0,茇
bacb=0,菝
blcb=0,薭
bkcb=0,苞
bkcb=0,蕔
bkcb=0,葆
bkcb=0,菢
bocb=0,萡
bzcb=0,藣
bzcb=0,苝
bzcb=0,蓓
bfcb=0,苯
bicb=0,荸
bicb=0,苾
bicb=0,荜
bicb=0,萞
bzcb=0,萆
bicb=0,蓽
bicb=0,蓖
bicb=0,蔽
bicb=0,弊
bicb=0,薜
bmcb=0,萹
bmcb=0,藊
bmcb=0,苄
bccb=0,藨
bxcb=0,虌
bxcb=0,莂
b;cb=0,苪
bocb=0,菠
bocb=0,苩
bocb=0,葧
bicb=0,蘗
bucb=0,荹
bucb=0,蔀
ijcb=0,蒇
ijcb=0,蕆
fzcb=0,蕜
fzcb=0,蕡
fbcb=0,芣
hucb=0,蔰
hdcb=0,黃
jccb=0,藠
lkcb=0,劳
mhcb=0,莾
nxcb=0,糱
pacb=0,葩
pjcb=0,蒰
picb=0,芘
pncb=0,薲
p;cb=0,荓
p;cb=0,蓱
pucb=0,蒱
sucb=0,苏
o莻cb=0,莻
ojcc=0,葊
bkcc=0,薄
clcc=0,菜
cjcc=0,薒
oicc=0,苍
oicc=0,蒼
ckcc=0,蓸
ckcc=0,艸
iucc=0,蒭
cicc=0,茈
cicc=0,茨
cicc=0,茦
cicc=0,莿
cscc=0,苁
cscc=0,茐
cscc=0,葱
idcc=0,蔥
cscc=0,蓯
cucc=0,蔖
cocc=0,蓌
hvcc=0,芔
jicc=0,棘
jicc=0,蕀
jmcc=0,荐
jqcc=0,萛
mhcc=0,莽
mhcc=0,茻
pocc=0,蒪
ufcc=0,蔘
spcc=0,薞
ytcc=0,蘥
ovcc=0,葬
zkcc=0,棗
vbcc=0,荮
vbcc=0,葤
dacd=0,荙
dacd=0,薘
dhcd=0,菪
dhcd=0,蘯
dkcd=0,導
dkcd=0,菿
dicd=0,荻
dicd=0,蔐
dicd=0,藋
dicd=0,菧
dicd=0,菂
dicd=0,蒂
dlcd=0,蔕
dmcd=0,蕇
d;cd=0,薡
d;cd=0,萣
dscd=0,苳
dscd=0,菄
dbcd=0,蔸
dbcd=0,荳
ducd=0,荰
drcd=0,葮
dvcd=0,薱
docd=0,茤
docd=0,夺
fgcd=0,蘴
hucd=0,蔛
hrcd=0,萈
jicd=0,葪
jicd=0,蓟
jicd=0,薊
jicd=0,蘮
jmcd=0,薦
jxcd=0,楶
jtcd=0,芵
licd=0,菞
licd=0,茘
mocd=0,莫
ticd=0,蕛
tccd=0,芀
d;cd=0,艼
tucd=0,莵
tocd=0,莌
xicd=0,蕮
xxcd=0,藛
hpcd=0,蔒
ojcd=0,菴
yicd=0,苅
zkcd=0,枣
ovcd=0,蔗
vicd=0,茋
vicd=0,芖
zicd=0,鼒
oece=0,苊
oece=0,萼
oece=0,蕚
oece=0,蘁
ofce=0,蒽
orce=0,荋
orce=0,薾
fjce=0,范
grce=0,萖
jxce=0,节
mice=0,葞
mcce=0,藐
nlce=0,耐
qice=0,葺
rsce=0,茸
yrce=0,茒
yrce=0,苑
bgcf=0,菶
bocf=0,蔔
ircf=0,荈
facf=0,茷
facf=0,藅
fjcf=0,蕃
fjcf=0,藩
fjcf=0,薠
fjcf=0,蘩
fhcf=0,芳
fzcf=0,菲
fzcf=0,芾
fzcf=0,萉
facf=0,蕟
ffcf=0,芬
ffcf=0,蒶
ffcf=0,弅
fgcf=0,葑
fucf=0,荴
bucf=0,尃
fucf=0,芙
fucf=0,苻
bocf=0,茀
fucf=0,茯
fucf=0,莩
fucf=0,菔
fucf=0,葍
bzcf=0,萯
fucf=0,蕧
jicf=0,蘎
ljcf=0,葻
mfcf=0,虋
micf=0,蘼
mxcf=0,薎
pgcf=0,芃
fgcf=0,莑
pgcf=0,蓬
pgcf=0,蘕
pucf=0,莆
obcf=0,寿
tkcf=0,萄
yicf=0,彞
oicg=0,藏
fgcg=0,封
gjcg=0,苷
gkcg=0,菒
gkcg=0,藳
gecg=0,茖
gfcg=0,茛
ggcg=0,菮
ggcg=0,莄
gbcg=0,芶
